"","sub_id","stim_id","stim_version","sub_i","sub_cond","stim_i","sub_cond.e","stim_version.e","err","RT"
"1",1,1,"type1",-99.6582353403102,"story1",-6.35256978071177,0,-0.5,3.56494807996804,622.554142958946
"2",1,1,"type2",-99.6582353403102,"story1",-6.35256978071177,0,0.5,0.541363579807974,769.530558458786
"3",1,1,"type3",-99.6582353403102,"story1",-6.35256978071177,0,0.9,2.02347056998795,831.012665448966
"4",1,1,"type4",-99.6582353403102,"story1",-6.35256978071177,0,0.5,1.76373158632915,770.752926465307
"5",1,2,"type1",-99.6582353403102,"story1",-0.0379430661788557,0,-0.5,-12.3838369234692,612.919984670042
"6",1,2,"type2",-99.6582353403102,"story1",-0.0379430661788557,0,0.5,-32.0285439703109,743.2752776232
"7",1,2,"type3",-99.6582353403102,"story1",-0.0379430661788557,0,0.9,3.21312788504615,838.516949478557
"8",1,2,"type4",-99.6582353403102,"story1",-0.0379430661788557,0,0.5,-14.206021049334,761.097800544177
"9",1,3,"type1",-99.6582353403102,"story1",0.456152602891037,0,-0.5,-9.77460674414835,616.023310518432
"10",1,3,"type2",-99.6582353403102,"story1",0.456152602891037,0,0.5,10.9305489802427,786.728466242823
"11",1,3,"type3",-99.6582353403102,"story1",0.456152602891037,0,0.9,15.7466717872272,851.544589049808
"12",1,3,"type4",-99.6582353403102,"story1",0.456152602891037,0,0.5,1.52950709345327,777.327424356034
"13",1,4,"type1",-99.6582353403102,"story1",6.84072008052374,0,-0.5,23.9548710811472,656.137355821361
"14",1,4,"type2",-99.6582353403102,"story1",6.84072008052374,0,0.5,8.46126048693431,790.643745227148
"15",1,4,"type3",-99.6582353403102,"story1",6.84072008052374,0,0.9,-2.33042571236421,839.852059027849
"16",1,4,"type4",-99.6582353403102,"story1",6.84072008052374,0,0.5,-17.632009797895,764.550474942318
"17",1,5,"type1",-99.6582353403102,"story1",-2.52042521064338,0,-0.5,-2.13220766610328,620.689131782943
"18",1,5,"type2",-99.6582353403102,"story1",-2.52042521064338,0,0.5,13.511744800411,786.333084249457
"19",1,5,"type3",-99.6582353403102,"story1",-2.52042521064338,0,0.9,5.37265422721699,838.193993676263
"20",1,5,"type4",-99.6582353403102,"story1",-2.52042521064338,0,0.5,-13.777831375519,759.043508073527
"21",1,6,"type1",-99.6582353403102,"story1",-1.51038533649054,0,-0.5,-19.8303525500942,604.001026773105
"22",1,6,"type2",-99.6582353403102,"story1",-1.51038533649054,0,0.5,3.4170001529598,777.248379476159
"23",1,6,"type3",-99.6582353403102,"story1",-1.51038533649054,0,0.9,-5.21780944111599,828.613569882083
"24",1,6,"type4",-99.6582353403102,"story1",-1.51038533649054,0,0.5,19.5108677507953,793.342247073994
"25",1,7,"type1",-99.6582353403102,"story1",-8.74931437404246,0,-0.5,-3.36971110994254,613.222739175705
"26",1,7,"type2",-99.6582353403102,"story1",-8.74931437404246,0,0.5,-38.9529869937372,727.63946329191
"27",1,7,"type3",-99.6582353403102,"story1",-8.74931437404246,0,0.9,-13.8259882916643,812.766461993983
"28",1,7,"type4",-99.6582353403102,"story1",-8.74931437404246,0,0.5,22.0317715240119,788.624221809659
"29",1,8,"type1",-99.6582353403102,"story1",-19.7690140206535,0,-0.5,-14.0919121697224,591.480838469314
"30",1,8,"type2",-99.6582353403102,"story1",-19.7690140206535,0,0.5,-12.7629521181098,742.809798520926
"31",1,8,"type3",-99.6582353403102,"story1",-19.7690140206535,0,0.9,24.9140058713759,840.486756510412
