"","sub_partcipants_condition","score_participants"
"1","age",23.1896569283575
"2","age",19.7086490860583
"3","age",19.1849556792146
"4","age",22.0560845084151
"5","age",24.1961835574836
"6","age",22.2298427984592
"7","age",20.1182047335038
"8","age",19.544541249962
"9","age",22.0167818844397
"10","age",21.6884630402436
"11","age",21.9002152547772
"12","age",18.3049558905448
"13","age",19.3718536500064
"14","age",17.7150954380843
"15","age",19.5762723514087
"16","age",21.0859744637267
"17","age",22.8724698627854
"18","age",19.4139935510209
"19","age",19.89484648288
"20","age",19.6502332062423
"21","age",19.4044927366214
"22","age",23.4886382447085
"23","age",18.7232725186855
"24","age",19.5589827738653
"25","age",21.0151030851523
"26","age",22.8054901493226
"27","age",22.707469208159
"28","age",19.7151791139687
"29","age",22.6617169124033
"30","age",17.8279076814062
"31","age",18.9325211624229
"32","age",16.9243421512537
"33","age",19.0916512537332
"34","age",17.7858467347829
"35","age",21.8587717218083
"36","age",15.4473544553478
"37","age",21.4389724414478
"38","age",19.1341835682747
"39","age",20.5360583943913
"40","age",19.3320381744776
"41","age_acq",0.296639525221544
"42","age_acq",8.19510287973426
"43","age_acq",3.28130408120775
"44","age_acq",5.61161412283616
"45","age_acq",2.23680320783497
"46","age_acq",9.18908789327745
"47","age_acq",6.28311950855331
"48","age_acq",5.11587373651437
"49","age_acq",2.7261523468915
"50","age_acq",2.51040728419573
"51","age_acq",4.03041334449316
"52","age_acq",2.88961480129078
"53","age_acq",4.0687928613867
"54","age_acq",6.14822304093579
"55","age_acq",2.1464779320182
"56","age_acq",5.40317809574961
"57","age_acq",5.80962078777626
"58","age_acq",6.72554947900158
"59","age_acq",7.90399832160039
"60","age_acq",5.1833811990009
"61","age_acq",1.70785895670323
"62","age_acq",3.5090341032276
"63","age_acq",0.108290079792312
"64","age_acq",6.65329105494291
"65","age_acq",6.74045553417623
"66","age_acq",2.69216781698938
"67","age_acq",3.00734308435826
"68","age_acq",6.38222952786604
"69","age_acq",0.781434561927362
"70","age_acq",1.48084001624959
"71","age_acq",1.68343687553221
"72","age_acq",2.40652865881541
"73","age_acq",0.614131089185171
"74","age_acq",3.6753110599602
"75","age_acq",2.14750073893679
"76","age_acq",10.8541233423315
"77","age_acq",0.272741980770751
"78","age_acq",1.69634250986647
"79","age_acq",8.85712039256412
"80","age_acq",6.10588442601961
"81","CSF",7.40003123451425
"82","CSF",4.90480741002046
"83","CSF",6.75404892395228
"84","CSF",3.36856330410849
"85","CSF",5.71629799712379
"86","CSF",6.68441155822236
"87","CSF",6.16786922731537
"88","CSF",5.04412080329656
"89","CSF",4.64069821866207
"90","CSF",6.42224439508507
"91","CSF",6.97406025388024
"92","CSF",5.27090390639814
"93","CSF",5.56132550922418
"94","CSF",4.92824509810172
"95","CSF",5.27331787860988
"96","CSF",5.9149925755402
"97","CSF",3.9616475452824
"98","CSF",5.36864694754133
"99","CSF",6.31518344040678
"100","CSF",5.7943670657966
"101","CSF",5.22066522934717
"102","CSF",6.02852001958591
"103","CSF",6.64746216166446
"104","CSF",5.56282080240093
"105","CSF",6.65293618578428
"106","CSF",6.57971857388678
"107","CSF",6.38591553612409
"108","CSF",5.91104412231264
"109","CSF",5.55233087367101
"110","CSF",7.04639355156708
"111","CSF",5.26915420650241
"112","CSF",6.47129385880684
"113","CSF",6.1597068827481
"114","CSF",6.41814082231509
"115","CSF",5.41220926034111
"116","CSF",5.92290652299521
"117","CSF",5.71962996405295
"118","CSF",5.71854390013001
"119","CSF",5.81807313875629
"120","CSF",6.02889869439558
"121","LP",4.93588303675176
"122","LP",5.04517147897118
"123","LP",5.719153655114
"124","LP",5.84746421055159
"125","LP",6.59841017784945
"126","LP",6.32490831092922
"127","LP",5.45890214981398
"128","LP",5.16244577892706
"129","LP",5.0065806367022
"130","LP",4.70394395138499
"131","LP",6.17616713419877
"132","LP",4.73511955534047
"133","LP",5.71967242358511
"134","LP",6.00472645227967
"135","LP",5.28619688107291
"136","LP",4.83888633568342
"137","LP",4.92343974607564
"138","LP",5.34417618503917
"139","LP",5.17276517277827
"140","LP",3.63238358906966
"141","LP",6.55671062105653
"142","LP",4.65630475462531
"143","LP",5.75460006608987
"144","LP",5.48589224396222
"145","LP",6.06573393147917
"146","LP",5.54620731266681
"147","LP",4.26130273780677
"148","LP",5.07037291061638
"149","LP",5.08837546135862
"150","LP",5.04820112878414
"151","LP",4.66687204683574
"152","LP",4.96983902148964
"153","LP",6.07947733641376
"154","LP",4.78680456406785
"155","LP",5.33353346885546
"156","LP",5.24635296224711
"157","LP",4.25580212813953
"158","LP",4.84645810923656
"159","LP",4.45507899045662
"160","LP",4.38309957884237
"161","EN_ES",5.94604186954417
"162","EN_ES",6.50543697526517
"163","EN_ES",6.56985535783334
"164","EN_ES",6.11930787127948
"165","EN_ES",5.63512400012833
"166","EN_ES",5.50403237275616
"167","EN_ES",5.68286151487047
"168","EN_ES",6.57357429946629
"169","EN_ES",6.68213642567049
"170","EN_ES",6.05859688825895
"171","EN_ES",6.2237879274183
"172","EN_ES",6.00177839245845
"173","EN_ES",6.42974359663712
"174","EN_ES",6.16566837958597
"175","EN_ES",6.36650607439671
"176","EN_ES",5.29489304818477
"177","EN_ES",5.83862750035371
"178","EN_ES",6.22661878081247
"179","EN_ES",6.2905221894417
"180","EN_ES",6.89937956050065
"181","EN_ES",5.74229570677317
"182","EN_ES",5.54589260966851
"183","EN_ES",6.32936224013561
"184","EN_ES",6.61097672319936
"185","EN_ES",5.83990177028716
"186","EN_ES",6.22376952558126
"187","EN_ES",5.4632708069479
"188","EN_ES",6.67282365789433
"189","EN_ES",6.32722743926208
"190","EN_ES",5.55050441048238
"191","EN_ES",5.59899509326884
"192","EN_ES",6.30576201681706
"193","EN_ES",6.69907977231561
"194","EN_ES",6.0610234869244
"195","EN_ES",5.68198696195507
"196","EN_ES",6.24368008618557
"197","EN_ES",5.83831222696715
"198","EN_ES",5.80559311767206
"199","EN_ES",5.86266498752865
"200","EN_ES",6.09449756141429
